"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Policy is not accepted Usage policy permission with not allowed constraints","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","341","Provider gets 400 when empty asset selector is used","","Wed Oct 01 07:30:15 GMT 2025","passed","Wed Oct 01 07:30:16 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasEmptyAssetSelector"
"","34","Policy is not accepted Usage policy prohibition with not allowed constraints","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","7886","transferData_withSuspendResume()","","Wed Oct 01 07:32:28 GMT 2025","passed","Wed Oct 01 07:32:36 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_withSuspendResume"
"","10006","transferData_withExpiredEdr_shouldReturn4xx()","","Wed Oct 01 07:34:34 GMT 2025","passed","Wed Oct 01 07:34:44 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","54","Policy is accepted Data Usage End Date","","Wed Oct 01 07:29:38 GMT 2025","passed","Wed Oct 01 07:29:38 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","17240","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Wed Oct 01 07:29:46 GMT 2025","passed","Wed Oct 01 07:30:04 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","73","Policy is accepted DataExchangeGovernance use case","","Wed Oct 01 07:29:38 GMT 2025","passed","Wed Oct 01 07:29:38 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1670","trigger_shouldReturnSuccess_whenAllValidationsSucceed()","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:42 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","trigger_shouldReturnSuccess_whenAllValidationsSucceed"
"","24","Policy is accepted Data Frequency","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","26","Policy is accepted Precedence","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","51","4.3.1 Verifier should reject an ID token that does not contain an access token","","Wed Oct 01 07:29:35 GMT 2025","passed","Wed Oct 01 07:29:35 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_01_presentationResponse_idTokenNoTokenClaim"
"","7244","httpPushDataTransfer_withLegacyUsagePolicy()","","Wed Oct 01 07:32:59 GMT 2025","passed","Wed Oct 01 07:33:06 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer_withLegacyUsagePolicy"
"","4328","transferData_privateBackend_withConsumerDataPlane()","","Wed Oct 01 07:31:47 GMT 2025","passed","Wed Oct 01 07:31:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_privateBackend_withConsumerDataPlane"
"","10304","httpPushNonFiniteDataTransfer()","","Wed Oct 01 07:33:11 GMT 2025","passed","Wed Oct 01 07:33:21 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushNonFiniteDataTransfer"
"","24","Policy is accepted Liability","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","27","Policy is accepted Warranty Definition","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","4984","httpPushDataTransfer()","","Wed Oct 01 07:33:06 GMT 2025","passed","Wed Oct 01 07:33:11 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","43","4.3.3 Verify invalid access token - iss and sub different","","Wed Oct 01 07:29:35 GMT 2025","passed","Wed Oct 01 07:29:35 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidSub"
"","90","Policy is not accepted Usage policy with empty permission","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","4038","transferData_success_withProxyOriginalResponse()","","Wed Oct 01 07:31:07 GMT 2025","passed","Wed Oct 01 07:31:11 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_success_withProxyOriginalResponse"
"","14","verifyAgentId_whenNoMembershipCredential_forDsp08(DataspaceProfileContextRegistry)","","Wed Oct 01 07:31:17 GMT 2025","passed","Wed Oct 01 07:31:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyAgentId_whenNoMembershipCredential_forDsp08"
"","164","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Wed Oct 01 07:29:43 GMT 2025","passed","Wed Oct 01 07:29:43 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","63","Policy is accepted Exclusive Usage","","Wed Oct 01 07:29:39 GMT 2025","passed","Wed Oct 01 07:29:39 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","4191","transferData_privateBackend_withConsumerDataPlane()","","Wed Oct 01 07:30:52 GMT 2025","passed","Wed Oct 01 07:30:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_privateBackend_withConsumerDataPlane"
"","53","Policy is accepted Data Usage End Date Definition","","Wed Oct 01 07:29:38 GMT 2025","passed","Wed Oct 01 07:29:38 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","26","Policy is accepted Business Partner Group","","Wed Oct 01 07:29:41 GMT 2025","passed","Wed Oct 01 07:29:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2057","transferFolder_targetFolderNotExists_shouldCreate(Vault)","","Wed Oct 01 07:30:20 GMT 2025","passed","Wed Oct 01 07:30:22 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFolder_targetFolderNotExists_shouldCreate"
"","27","Policy is accepted Affiliates BPNL","","Wed Oct 01 07:29:40 GMT 2025","passed","Wed Oct 01 07:29:40 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","114","5.4.3.6 Verifier should reject Presentations where at least 1 credential is revoked/suspended","","Wed Oct 01 07:29:35 GMT 2025","passed","Wed Oct 01 07:29:35 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_credentialRevoked"
"","2986","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Wed Oct 01 07:30:40 GMT 2025","passed","Wed Oct 01 07:30:43 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","579","Verify HTTP 403 response when refreshing the token is not allowed","","Wed Oct 01 07:29:35 GMT 2025","passed","Wed Oct 01 07:29:36 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","1501","BusinessPartnerCreated event is published","","Wed Oct 01 07:29:38 GMT 2025","passed","Wed Oct 01 07:29:39 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerCreatedEvent"
"","28","Policy is accepted Contract reference","","Wed Oct 01 07:29:41 GMT 2025","passed","Wed Oct 01 07:29:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2042","transferMultipleFiles()","","Wed Oct 01 07:31:07 GMT 2025","passed","Wed Oct 01 07:31:09 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
