"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2438","Refresh token is null or empty (missing) [1] null","","Fri May 22 09:22:37 UTC 2026","passed","Fri May 22 09:22:40 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","147","discoveryShouldReturn08DspParams_whenDsp2025NotAvailable_BpnAsIdentifier()","","Fri May 22 09:23:41 UTC 2026","passed","Fri May 22 09:23:41 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn08DspParams_whenDsp2025NotAvailable_BpnAsIdentifier"
"","44","Policy is not accepted because definition is not correct ""Usage policy prohibition with not allowed constraints""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","2061","transferFolder_targetFolderNotExists_shouldCreate(Vault)","","Fri May 22 09:23:37 UTC 2026","passed","Fri May 22 09:23:39 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFolder_targetFolderNotExists_shouldCreate"
"","94","5.4.3 Verifier should reject Presentations where the holder does not match the credentialSubject.id","","Fri May 22 09:22:35 UTC 2026","passed","Fri May 22 09:22:35 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_presentationResponse_holderNotEqualSubjectId"
"","45","Policy is not accepted due to missing context ""Data Frequency""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","99","BusinessPartnerDeleted event is published","","Fri May 22 09:22:59 UTC 2026","passed","Fri May 22 09:22:59 UTC 2026","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerDeletedEvent"
"","12038","azureBlobPush_withoutDestFolder()","","Fri May 22 09:22:58 UTC 2026","passed","Fri May 22 09:23:10 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","434","refreshEdr()","","Fri May 22 09:23:15 UTC 2026","passed","Fri May 22 09:23:15 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr"
"","756","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType()","","Fri May 22 09:23:02 UTC 2026","passed","Fri May 22 09:23:03 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType"
"","60","triggerDataTransfer_shouldFail_whenDataFlowIsNotInStartedState()","","Fri May 22 09:23:03 UTC 2026","passed","Fri May 22 09:23:03 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsNotInStartedState"
"","950","shouldFail_whenDestinationBucketDoesNotExist()","","Fri May 22 09:24:11 UTC 2026","passed","Fri May 22 09:24:12 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","4475","Contract policy is fulfilled ""MembershipCredential""","","Fri May 22 09:24:09 UTC 2026","passed","Fri May 22 09:24:13 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","365","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Fri May 22 09:24:15 UTC 2026","passed","Fri May 22 09:24:15 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","4","verifyAgentId_whenNoMembershipCredential_forDsp08(DataspaceProfileContextRegistry)","","Fri May 22 09:24:38 UTC 2026","passed","Fri May 22 09:24:38 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyAgentId_whenNoMembershipCredential_forDsp08"
"","43","Policy is not accepted due to missing context ""Version Changes""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","50","Policy is not accepted due to missing context ""Affiliates Region (IS_ANY_OF, one element)""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","4050","transferData_privateBackend()","","Fri May 22 09:24:17 UTC 2026","passed","Fri May 22 09:24:21 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_privateBackend"
"","4089","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Fri May 22 09:24:04 UTC 2026","passed","Fri May 22 09:24:08 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","5542","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Fri May 22 09:25:35 UTC 2026","passed","Fri May 22 09:25:41 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","66","Policy is accepted ""ContractTermination""","","Fri May 22 09:23:07 UTC 2026","passed","Fri May 22 09:23:07 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","59","Policy is not accepted because definition is not correct ""Policy with different actions types""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","59","Policy is accepted ""Enforce data usage end date 1 day in the future""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","78","5.1 Verifier should accept a valid PresentationResponseMessage","","Fri May 22 09:22:35 UTC 2026","passed","Fri May 22 09:22:35 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_01_presentationResponse_success"
"","1","verifyCorrectParticipantAgentId_forDsp2025(DataspaceProfileContextRegistry)","","Fri May 22 09:24:38 UTC 2026","passed","Fri May 22 09:24:38 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp2025"
"","102","Policy is accepted ""Affiliates Region""","","Fri May 22 09:23:06 UTC 2026","passed","Fri May 22 09:23:06 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2960","transferFile_azureToS3MultipleFiles(Vault)","","Fri May 22 09:23:50 UTC 2026","passed","Fri May 22 09:23:53 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3MultipleFiles"
"","84","Policy is accepted ""Warranty""","","Fri May 22 09:23:07 UTC 2026","passed","Fri May 22 09:23:07 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6357","The authentication token misses required claims: token","","Fri May 22 09:22:26 UTC 2026","passed","Fri May 22 09:22:32 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAccessToken"
"","52385","Catalog with 1000 offers","","Fri May 22 09:23:00 UTC 2026","passed","Fri May 22 09:23:52 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","4110","transferData_success_withProxyOriginalResponse()","","Fri May 22 09:26:03 UTC 2026","passed","Fri May 22 09:26:07 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_success_withProxyOriginalResponse"
"","59","Policy is accepted ""Confidential Information Measures""","","Fri May 22 09:23:07 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","627","Verify that the consumer receives only the offers he is permitted to (using the legacy CX policy)","","Fri May 22 09:24:14 UTC 2026","passed","Fri May 22 09:24:15 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpn_UsingLegacyCxPolicy_shouldReject"
"","3610","Verify that the consumer receives only the offers he is permitted to (using the legacy CX policy)","","Fri May 22 09:22:55 UTC 2026","passed","Fri May 22 09:22:59 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_UsingLegacyCxPolicy_shouldReject"
"","44","Policy is not accepted due to missing context ""Affiliates Region""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","46","discoveryShouldReturnDspParams_DidAsIdentifier()","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","discoveryShouldReturnDspParams_DidAsIdentifier"
"","51","Policy is accepted ""Business Partner Group""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","12140","httpPushNonFiniteDataTransfer()","","Fri May 22 09:26:53 UTC 2026","passed","Fri May 22 09:27:05 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushNonFiniteDataTransfer"
"","2608","The Authorization header is missing","","Fri May 22 09:22:32 UTC 2026","passed","Fri May 22 09:22:35 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","42","Policy is not accepted due to missing context ""Warranty""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","62","Policy is accepted ""Business Partner Number""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","42","Policy is not accepted due to missing context ""Usage Purpose""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","11177","httpPushNonFiniteDataTransfer()","","Fri May 22 09:27:38 UTC 2026","passed","Fri May 22 09:27:49 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushNonFiniteDataTransfer"
"","50","Policy is not accepted due to missing context ""Affiliates BPNL""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2084","transferMultipleFile_success(Vault)","","Fri May 22 09:23:33 UTC 2026","passed","Fri May 22 09:23:35 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferMultipleFile_success"
"","2053","transferFile_targetContainerNotExist_shouldFail(Vault)","","Fri May 22 09:23:39 UTC 2026","passed","Fri May 22 09:23:41 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","93","Verify HTTP 403 response when refreshing the token is not allowed","","Fri May 22 09:23:15 UTC 2026","passed","Fri May 22 09:23:15 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","25013","transferFile_largeFile(long, Vault) File size bytes: 1073741824","","Fri May 22 09:23:07 UTC 2026","passed","Fri May 22 09:23:32 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","2315","discoveryShouldReturn400_ifRequestHasMissingProps()","","Fri May 22 09:23:05 UTC 2026","passed","Fri May 22 09:23:07 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","discoveryShouldReturn400_ifRequestHasMissingProps"
"","49","Policy is not accepted because definition is not correct ""Usage policy permission with not allowed constraints""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","61","Policy is accepted ""Confidential Information Sharing""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","15623","discoveryShouldReturn502_whenProviderEndpointNotReachable()","","Fri May 22 09:23:41 UTC 2026","passed","Fri May 22 09:23:57 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn502_whenProviderEndpointNotReachable"
"","2151","transferFile_success()","","Fri May 22 09:24:09 UTC 2026","passed","Fri May 22 09:24:11 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","54","Policy is accepted ""Access policy with empty permission""","","Fri May 22 09:23:08 UTC 2026","passed","Fri May 22 09:23:08 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","7363","httpPushDataTransfer_withLegacyUsagePolicy()","","Fri May 22 09:27:25 UTC 2026","passed","Fri May 22 09:27:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer_withLegacyUsagePolicy"
"","64","Policy is accepted ""Exclusive Usage""","","Fri May 22 09:23:07 UTC 2026","passed","Fri May 22 09:23:07 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","49","Provider gets 400 when no asset selector is used","","Fri May 22 09:23:28 UTC 2026","passed","Fri May 22 09:23:28 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasNoAssetSelector"
"","43","Policy is not accepted due to missing context ""Liability""","","Fri May 22 09:23:09 UTC 2026","passed","Fri May 22 09:23:09 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
