"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18689","transferFile_largeFile(long, Vault) File size bytes: 536870912","","Wed Oct 22 10:50:56 GMT 2025","passed","Wed Oct 22 10:51:15 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","8649","transferData_withAutomaticRefresh()","","Wed Oct 22 10:52:10 GMT 2025","passed","Wed Oct 22 10:52:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","294","Consumer gets catalog from the provider. No constraints.","","Wed Oct 22 10:51:23 GMT 2025","passed","Wed Oct 22 10:51:23 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","2041","transferFile_s3ToAzure(Vault)","","Wed Oct 22 10:51:53 GMT 2025","passed","Wed Oct 22 10:51:55 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzure"
"","1376","The Authorization header is missing","","Wed Oct 22 10:50:29 GMT 2025","passed","Wed Oct 22 10:50:30 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","1597","shouldDelegateAuth()","","Wed Oct 22 10:51:24 GMT 2025","passed","Wed Oct 22 10:51:25 GMT 2025","","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","shouldDelegateAuth"
"","5953","Contract policy is fulfilled Dismantler Credential","","Wed Oct 22 10:54:48 GMT 2025","passed","Wed Oct 22 10:54:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","55","Policy is accepted Dismantler Credential","","Wed Oct 22 10:51:20 GMT 2025","passed","Wed Oct 22 10:51:20 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","264","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Wed Oct 22 10:52:06 GMT 2025","passed","Wed Oct 22 10:52:06 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","27","Policy is accepted Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Wed Oct 22 10:51:20 GMT 2025","passed","Wed Oct 22 10:51:20 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
