"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15794","Malicious actor should not impersonate a consumer by creating a VP with the consumer membership credential","","Mon Mar 09 15:49:07 UTC 2026","passed","Mon Mar 09 15:49:23 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withWrappedConsumerCredential"
"","46","Policy is not accepted due to missing context ""MembershipCredential""","","Mon Mar 09 15:49:07 UTC 2026","passed","Mon Mar 09 15:49:07 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","81","Policy is accepted ""ContractTermination""","","Mon Mar 09 15:49:06 UTC 2026","passed","Mon Mar 09 15:49:06 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","84","5.4.3.7 Verifier should reject an expired credential","","Mon Mar 09 15:48:31 UTC 2026","passed","Mon Mar 09 15:48:31 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_07_presentationResponse_expiredCredential"
"","2412","The authentication token has a invalid id","","Mon Mar 09 15:49:22 UTC 2026","passed","Mon Mar 09 15:49:24 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidTokenId"
"","53","5.4.2.1 Verifier should reject a presentation response message that contains a different credential than requested","","Mon Mar 09 15:48:31 UTC 2026","passed","Mon Mar 09 15:48:31 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_01_presentationResponse_tooFewCredentials"
"","2870","Contract policy is fulfilled ""DataExchangeGovernance use case""","","Mon Mar 09 15:50:49 UTC 2026","passed","Mon Mar 09 15:50:52 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","57","Policy is accepted ""In force date policy""","","Mon Mar 09 15:49:06 UTC 2026","passed","Mon Mar 09 15:49:06 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","83","Policy is accepted ""Jurisdiction Location""","","Mon Mar 09 15:49:05 UTC 2026","passed","Mon Mar 09 15:49:05 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","889","Expect the Catalog request to fail if a credential is revoked","","Mon Mar 09 15:49:51 UTC 2026","passed","Mon Mar 09 15:49:52 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","catalogRequest_whenCredentialRevoked"
